가게이름,카테고리,주소,전화번호,영업시간,메뉴,최소가격,최대가격,차액,평점,사진,주소,나이대,분위기,목적
동대문 엽기떡볶이 충장로점,배달,광주시 동구 황금동 88,062-229-8592,매일 오전 11시 - 오후 10시 30분,"['엽기떡볶이', '로제떡볶이', '베스트세트', '스페셜세트', '닭발세트', '주먹김밥(셀프)', '참치마요밥', '엽기오돌뼈밥', '오뎅탕', '계란찜', '계란야채죽', '오뎅튀김(15개)', '짜장떡볶이', '오징어튀김(1개)', '엽봉(5개)', '모둠튀김', '김말이 (3개)', '야채튀김 (1개)', '만두 (4개)', '바삭치즈만두 (7개)', '순대 (300g)', '엽도그', '공기밥', '엽기닭볶음탕', '떡추가', '오뎅 추가', '모짜치즈', '햄', '베이컨', '퐁당치즈만두 (7개)', '계란 (2개)', '메추리알 (5개)', '우동사리', '당면사리', '2인엽기떡볶이', '중국당면', '분모자', '엽기오돌뼈', '엽기무뼈닭발', '엽기국물닭발', '엽떡 밀키트', '실속세트']","['14,000원', '16,000원', '20,000원', '25,000원', '17,500원', '2,000원', '3,500원', '4,500원', '6,000원', '2,000원', '5,000원', '2,000원', '16,000원', '1,000원', '5,000원', '2,000원', '2,000원', '1,000원', '2,000원', '2,000원', '3,000원', '2,000원', '1,000원', '24,000원', '1,000원', '1,000원', '3,000원', '1,000원', '3,000원', '2,000원', '1,500원', '1,000원', '2,000원', '2,000원', '9,000원', '2,500원', '2,500원', '14,000원', '15,000원', '15,000원', '15,000원', '17,500원']",1000,25000,24000,3.7점,https://d12zq4w4guyljn.cloudfront.net/750_750_20221002022350_photo1_fba9b6f82f5e.jpg,https://www.diningcode.com/profile.php?rid=piXodHavkDrz,[],[],[]
현대옥 광주충장로점,배달,광주시 동구 충장로4가 15-1,062-227-4500,매일 오전 8시 - 오후 10시,"['[토렴응용식]전주남부시장식콩나물국밥', '[매운탕식]전주끓이는식콩나물국밥', ""현대옥 순'한'두부찌개"", '얼큰돼지국밥', '황태콩나물국밥', '현대옥순대국밥', '곤드레밥', '현대옥스테이크', '바싹불고기 한접시', '순대모둠한접시', '큰오징어데침한접시', '고추군만두']","['8,000원', '8,000원', '9,000원', '9,500원', '9,000원', '9,000원', '9,000원', '9,000원', '17,000원', '9,000원', '12,000원', '7,000원']",7000,17000,10000,4.5점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210812070531_photo1_45241ef334d7.jpg,https://www.diningcode.com/profile.php?rid=coGdIl0MuFhu,[],[],[]
안교,배달,광주시 동구 황금동 13-6,062-227-3250,"월,화,목,금,토/일 오전 11시 30분 - 오후 8시 30분","['수제생돈까스', '눈꽃치즈돈까스', '소바세트', '우동세트', '쫄면세트', '스키야키', '쫄면', '냉모밀', '우동', '김치볶음밥돈까스']","['5,900원', '9,500원', '8,900원', '8,900원', '9,900원', '12,900원', '7,000원', '6,000원', '5,000원', '9,500원']",5000,12900,7900,3.2점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220704090215_photo1_b2fc61edb123.jpg,https://www.diningcode.com/profile.php?rid=Lwyn8SshfV0A,"['20대', '30대']","['점심식사', '저녁식사', '혼밥', '데이트', '가족외식', '식사모임']","['가성비좋은', '고급스러운', '깔끔한', '예쁜']"
샤브향 광주문화전당점,배달,광주시 동구 광산동 79,062-229-0963,매일 오전 11시 30분 - 오후 9시 30분,"['점심)월남쌈 우목심 샤브', '점심) 우목심 샤브', '월남쌈 우목심샤브', '월남쌈 우목심 버섯샤브', '월남쌈 우목심 생조개샤브', '월남쌈) 한우샤브+해물', '한우샤브+해물', '부챗살샤브+해물', '한우샤브']","['13,900원', '13,000원', '16,000원', '22,000원', '21,000원', '27,000원', '26,000원', '22,000원', '20,000원']",13000,27000,14000,3.8점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210129174623_photo0_xjHwo1lpJFJg.jpg,https://www.diningcode.com/profile.php?rid=xjHwo1lpJFJg,[],[],[]
어나더키친 충장로점,배달,광주시 동구 금남로1가 19-6,062-222-4034,"화,수,목,금,토/일 오전 11시 30분 - 오후 10시","['런치 SET.A', '런치 SET.B', '랍스터 세트', '랍스터 비스큐 파스타', '랍스터 스트립 스테이크', '라이브 랍스터 찜', '뉴욕 스트립 스테이크', '필레미뇽 안심 스테이크', '새우 관자 안심 스테이크', '베이컨 까르보나라', '모짜렐라 토마토 파스타', '명란 오일 파스타', '토마호크 스테이크 세트 (100g당)', '쉬림프 로제 파스타', '씨푸드 파스타', '어나더 투움바 파스타', '왕새우 매운 크림 파스타', '왕새우 매콤 필라프', '볼레네제 통베이컨 필라프', '여수 갓김치 필라프', '볼로네제 안심 버섯 필라프', '토마토 카프레제 샐러드', '쉬림프 샐러드', '포터하우스 스테이크 세트 (100g당)', '어나더 케이준 치킨 샐러드', '구운 버섯 안심 샐러드', '치킨 포테이토 피자', '허니 리코타 시금치 피자', '베이컨 쉬림프 피자', '에이드', '탄산음료', '버드와이저', '하우스 와인', '피오렐리 모스카토', '엘본 스테이크 세트 (100g당)', '알라다 까베르네 소비뇽', '알라다 소비뇽 블랑', '화이트 트러플 안심 피자', '화이트 트러플 안심 파스타', '트러플 풍기 크림 안심 리조또', '트러플 문어 스트립 스테이크', '스테이크 세트']","['19,900원', '17,900원', '99,900원', '29,900원', '37,900원', '45,000원', '24,900원', '28,900원', '29,900원', '14,900원', '17,900원', '17,900원', '19,900원', '18,900원', '19,900원', '19,900원', '19,900원', '14,900원', '17,900원', '18,900원', '19,900원', '14,900원', '15,900원', '19,500원', '16,900원', '18,900원', '19,900원', '21,900원', '21,900원', '6,000원', '2,000원', '7,000원', '7,000원', '35,000원', '18,500원', '38,000원', '38,000원', '24,900원', '24,900원', '26,900원', '31,900원', '59,900원']",2000,99900,97900,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230520054107_photo1_eb8a7a03d008.jpg,https://www.diningcode.com/profile.php?rid=apcM7tb7685U,[],[],[]
사랑각 구시청점,배달,광주시 동구 금동 24,062-233-5084,매일 오후 5시 - 오전 6시,"['매운갈비찜 세트', '냄비백숙 세트', '매운갈비찜', '소곱창전골', '설렁탕 전골', '막창 전골', '사골떡만두탕', '닭볶음탕', '곱도리탕', '닭강정', '옛날 통닭', '부침개', '막창전골 세트', '설렁탕 전골 (1인 식사용)', '해장 냉면', '계란찜', '주먹밥', '공기밥', '콜라', '스프라이트', '환타파인', '진로', '잎새주', '닭볶음탕 세트', '처음처럼', '카스', '테라', '참이슬 후레쉬', '순희 막걸리', '곱도리탕 세트', '뭉티기', '활어회', '한우물회/활어물회', '한우육회', '냄비백숙']","['31,000원', '31,000원', '23,000원', '25,000원', '21,000원', '23,000원', '13,000원', '23,000원', '25,000원', '16,000원', '13,000원', '14,000원', '31,000원', '10,000원', '6,500원', '2,000원', '3,000원', '1,000원', '1,500원', '1,500원', '1,500원', '3,500원', '3,500원', '31,000원', '3,500원', '3,500원', '3,500원', '3,500원', '3,000원', '33,000원', '28,000원', '25,000원', '25,000원', '24,000원', '23,000원']",1000,33000,32000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220908121953_photo1_f30e05a5b8d0.jpg,https://www.diningcode.com/profile.php?rid=5eJKEN7csSG7,[],[],[]
이삭토스트 광주대의점,배달,광주시 동구 대의동 83,062-222-8081,월-금 오전 9시 - 오후 6시 30분,"['H.아메리카노', '핑크퐁 아기상어 토스트', '허니갈릭 햄치즈', 'I.바닐라라떼', '그릴드 불고기', 'H.카페모카', '딥치즈 베이컨 포테이토', 'I.카페모카', '베이컨 베스트', 'H.카라멜라떼', '피자 토스트', 'I.카라멜라떼', 'I.아메리카노', '햄치즈 토스트', '청포도스파클링', '베이컨 포테이토 피자', '레몬스파클링', '햄스페셜 토스트', '자몽스파클링', '딥치즈 베이컨', '아이스티', '햄치즈 포테이토', '딸기주스', '마라 토스트', '감자 토스트', '키위주스', '트리플소세지 토스트', '애플망고주스', '더블소세지 토스트', '바나나주스', '새우 토스트', '딸기바나나주스', '칠리새우 토스트', '초코바나나주스', 'H.카페라떼', '핫초코', '아이스초코', 'H.녹차', 'I.녹차', 'H.얼그레이', 'I.얼그레이', '밀크쉐이크', '딸기쉐이크', '초코쉐이크', '모짜올리구마', '콘치즈 토스트', 'I.카페라떼', '그릴드 불갈비', 'H.바닐라라떼']","['2,700원', '4,600원', '3,600원', '3,800원', '4,300원', '3,800원', '4,900원', '3,800원', '3,900원', '3,800원', '4,400원', '3,800원', '2,700원', '3,100원', '3,200원', '5,100원', '3,200원', '3,500원', '3,200원', '4,200원', '2,700원', '4,000원', '3,200원', '4,300원', '3,600원', '3,200원', '4,900원', '3,200원', '4,300원', '3,600원', '4,600원', '3,800원', '4,600원', '3,800원', '3,300원', '3,300원', '3,300원', '2,700원', '2,700원', '2,700원', '2,700원', '3,800원', '3,800원', '3,800원', '4,500원', '4,300원', '3,300원', '4,600원', '3,800원']",2700,5100,2400,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210611071506_photo1_bafb58e4aa35.jpg,https://www.diningcode.com/profile.php?rid=TTJ1H5qBoLdx,[],[],[]
츄룹,배달,광주시 동구 광산동 57,062-222-3354,매일 정오 12시 - 오후 11시,"['1컵 두가지맛', '1컵 세가지맛', '세가지맛 500ml(포장)', '네가지맛 750ml(포장)', '여섯가지맛 1000ml(포장)', '아메리카노', '카페라떼', '바닐라라떼']","['4,500원', '8,000원', '16,000원', '22,000원', '28,000원', '2,500원', '3,000원', '3,500원']",2500,28000,25500,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220409094938704_photo_.jpg,https://www.diningcode.com/profile.php?rid=yZ69XI01egpY,"['20대', '30대']",['간식'],"['깔끔한', '예쁜']"
BHC치킨,배달,광주시 동구 대의동 81-5,0504-0953-0491,매일 정오 12시 - 자정 12시,"['더블팝 순살 양념', '더블팝 순살 후라이드', '웨지감자', '치킨스넥', '단팥 트위스트', '크림치즈 트위스트', '치퐁당 윙', '치퐁당 스틱', '치퐁당 콤보', '분모자 로제 떡볶이', '포테킹 콤보', '펌치킨', '스윗킹폭립', '빠텐더', '뿌링클 반마리 세트', '골드킹 반마리 세트', '맛초킹 반마리 세트', '후라이드 반마리 세트', '콤보', '윙스타', '오스틱', '뿌링클HOT', '레드킹', '레드킹폭립', '후라이드', '포테킹 후라이드', '핫후라이드', '양념치킨', '바삭클', '맵소킹', '붐바스틱', '뿌링클 홀 닭가슴살(HMR)', '맛초킹 홀 닭가슴살(HMR)', '뿌링클 찹 닭가슴살(HMR)', '고추장 직화구이', '맛초킹 찹 닭가슴살(HMR)', '멍쿠키', '달콤바삭치즈볼', '뿌링치즈볼', '뿌링핫도그', '뿌링멘보샤', '빨간소떡', '뿌링소떡', '뿌링치즈스틱', '뿌링감자', '치퐁당 후라이드', '케이준프라이', '꿀호떡', '하바네로 포테킹', '골드킹', '맛초킹', '뿌링클']","['23,000원', '22,000원', '5,500원', '10,000원', '5,000원', '5,500원', '22,000원', '22,000원', '22,000원', '5,500원', '20,500원', '18,000원', '28,000원', '18,000원', '16,500원', '16,000원', '16,000원', '16,000원', '20,000원', '20,000원', '20,000원', '19,000원', '19,000원', '28,000원', '17,000원', '19,000원', '18,000원', '18,000원', '16,000원', '18,000원', '19,000원', '3,500원', '3,500원', '3,500원', '14,000원', '3,500원', '4,000원', '5,000원', '6,000원', '5,500원', '6,000원', '3,000원', '3,500원', '4,500원', '4,500원', '20,000원', '3,500원', '5,000원', '20,000원', '17,000원', '18,000원', '18,000원']",3000,28000,25000,4.2점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210614063904_photo1_6b08f1d95580.jpg,https://www.diningcode.com/profile.php?rid=BJ50ghjVjOZv,['30대'],"['점심식사', '저녁식사', '회식', '가족외식', '식사모임', '술모임', '간식']",[]
인촌,배달,광주시 동구 대인동 144-3,062-234-3389,매일 오전 11시 30분 - 오후 9시,"['숯불생선구이', '주물럭', '커플모듬구이', '커플모듬구이세트', '모듬구이', '모듬구이세트(백합탕)']","['8,000원', '8,000원', '25,000원', '36,000원', '45,000원', '56,000원']",8000,56000,48000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210814021338_photo1_45241ef334d7.jpg,https://www.diningcode.com/profile.php?rid=OY3AHQEg2UiB,"['20대', '50대']","['점심식사', '저녁식사']",['깔끔한']
피자헛 광주충장로점,배달,광주시 동구 궁동 1-3,062-225-3414,매일 오전 11시 - 오후 11시,"['콤비네이션 1958', '브루클린 버거', '하와이안', '더블 페페로니', 'LA BBQ 불고기', '토핑킹', '돈마호크', '립스테이크', '케이준 더블쉬림프', '수퍼슈프림', '직화불고기', '미티 디럭스']","['27,900원', '27,900원', '26,900원', '25,900원', '29,900원', '35,900원', '35,900원', '35,900원', '35,900원', '32,900원', '32,900원', '28,900원']",25900,35900,10000,4.4점,https://d12zq4w4guyljn.cloudfront.net/750_750_20200815023021048_photo_f8089d108807.jpg,https://www.diningcode.com/profile.php?rid=CXiBJjBRoO1n,[],[],[]
청담동마녀김밥,배달,광주시 동구 충장로3가 1-2,062-223-1115,매일 오전 8시 - 오후 9시,"['마녀김밥', '묵은지참치김밥', '멸치김밥', '고추김밥', '떡볶이', '눈꽃치즈떡볶이', '로제떡볶이', '우동', '돈까스', '생선까스', '고구마치즈돈까스', '쫄면', '묵은지김밥', '어묵탕', '튀김(고구마,김말이,오징어,야채)', '라면', '키토김밥', '키토매콤김밥', '계란마녀김밥', '핫도그김밥', '꼬마마녀김밥', '참치김밥', '매콤멸치김밥']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0,35900,10000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210807031348_photo1_45241ef334d7.jpg,https://www.diningcode.com/profile.php?rid=3OPLSTVW0SB4,"['20대', '50대']","['점심식사', '저녁식사', '혼밥', '데이트']",[]
제일반점,배달,광주시 동구 금남로5가 147-7,062-224-6670,"월-금,토 오전 10시 30분 - 오후 8시 30분","['옛날짜장', '탕수육']","['10,000원', '19000~35000']",10000,10000,0,3.0점,게시되지 않음,https://www.diningcode.com/profile.php?rid=lSDgSYzwI68S,['40대'],"['점심식사', '혼밥']",['깔끔한']
